order,family,tip_name,maleness,nspe,nfam,ngui,shan
Ranunculales,Ranunculaceae,Aconitum_vulparia,0.6304909560723515,9,5,3,1.1682824501765625
Rosales,Rosaceae,Agrimonia_eupatoria,0.18981101068200493,20,10,5,1.2945056947207823
Asparagales,Amaryllidaceae,Allium_ursinum,0.28644501278772383,5,2,5,1.6434177197931799
Asparagales,Amaryllidaceae,Allium_victorialis,0.35632183908045983,2,2,1,0.6365141682948128
Ranunculales,Ranunculaceae,Anemone_nemorosa,0.33999999999999997,12,7,5,1.3792922544726758
Asparagales,Asparagaceae,Anthericum_ramosum,0.44187898089171973,3,1,1,0.5623351446188083
Fabales,Fabaceae,Anthyllis_vulneraria,0.6301675977653632,34,19,11,1.9234309192684367
Brassicales,Brassicaceae,Barbarea_vulgaris,0.6120283018867924,25,10,14,2.3006754289129936
Ericales,Ericaceae,Calluna_vulgaris,0.4572230014025246,123,32,12,1.7660678643533512
Ranunculales,Ranunculaceae,Caltha_palustris,0.56,24,12,10,2.0252758101881176
Solanales,Convolvulaceae,Calystegia_sepium,0.5835189309576838,17,11,5,1.4285514187210009
Asterales,Campanulaceae,Campanula_rapunculoides,0.18859259259259262,17,7,8,2.0684785316378345
Asterales,Campanulaceae,Campanula_rotundifolia,0.2603550295857988,22,8,8,1.7886689560987936
Asterales,Campanulaceae,Campanula_trachelium,0.1983157894736842,18,7,7,1.8403407956415925
Brassicales,Brassicaceae,Cardamine_bulbifera,0.7569444444444444,6,6,6,1.9061547465398494
Brassicales,Brassicaceae,Arabidopsis_arenosa,0.5947712418300654,9,7,11,2.3933121229745242
Gentianales,Gentianaceae,Centaurium_erythraea,0.17204301075268819,5,3,2,0.8675632284814612
Ranunculales,Papaveraceae,Chelidonium_majus,0.6002824858757062,4,4,3,1.3321790402101223
Caryophyllales,Amaranthaceae,Chenopodium_album,0.33628028814669286,43,16,14,2.261508413509709
Myrtales,Onagraceae,Circaea_lutetiana,0.33480176211453744,14,9,6,1.559581156259877
Ranunculales,Ranunculaceae,Clematis_vitalba,0.6280487804878049,47,17,8,1.522369115939707
Lamiales,Lamiaceae,Clinopodium_vulgare,0.2931034482758621,31,12,10,2.1161469555419927
Ranunculales,Ranunculaceae,Consolida_regalis,0.6041666666666666,5,3,3,1.1537419427010902
Asparagales,Asparagaceae,Convallaria_majalis,0.2955703645629165,7,5,4,1.4941751382893083
Solanales,Convolvulaceae,Convolvulus_arvensis,0.5208333333333333,28,15,12,2.079302420259727
Cornales,Cornaceae,Cornus_sanguinea,0.3782307972333454,74,26,12,1.794807215957622
Lamiales,Plantaginaceae,Cymbalaria_muralis,0.5926680244399186,4,4,3,1.3321790402101223
