order,family,tip_name,maleness,nspe,nfam,ngui,shan
Ranunculales,Ranunculaceae,Aconitum_vulparia,0.6304909560723515,11,6,6,1.7670091910745693
Rosales,Rosaceae,Agrimonia_eupatoria,0.18981101068200493,22,10,7,1.5890269151739727
Asparagales,Amaryllidaceae,Allium_ursinum,0.28644501278772383,6,3,6,1.7986522062521288
Asparagales,Amaryllidaceae,Allium_victorialis,0.35632183908045983,2,2,1,0.6365141682948128
Ranunculales,Ranunculaceae,Anemone_nemorosa,0.33999999999999997,14,9,7,1.6607798617360388
Asparagales,Asparagaceae,Anthericum_ramosum,0.44187898089171973,3,1,1,0.5623351446188083
Fabales,Fabaceae,Anthyllis_vulneraria,0.6301675977653632,42,23,22,2.6481983788100725
Brassicales,Brassicaceae,Barbarea_vulgaris,0.6120283018867924,30,12,17,2.5224667382923798
Ericales,Ericaceae,Calluna_vulgaris,0.4572230014025246,134,33,16,2.087265986438313
Ranunculales,Ranunculaceae,Caltha_palustris,0.56,25,13,13,2.2869728468479855
Solanales,Convolvulaceae,Calystegia_sepium,0.5835189309576838,19,12,7,1.7347432485702734
Asterales,Campanulaceae,Campanula_rapunculoides,0.18859259259259262,19,7,13,2.518554435966914
Asterales,Campanulaceae,Campanula_rotundifolia,0.2603550295857988,36,11,13,2.2484856433157945
Asterales,Campanulaceae,Campanula_trachelium,0.1983157894736842,22,10,10,2.2254090484878417
Brassicales,Brassicaceae,Cardamine_bulbifera,0.7569444444444444,7,7,7,2.0253262207700677
Brassicales,Brassicaceae,Arabidopsis_arenosa,0.5947712418300654,14,11,14,2.5927874269574183
Gentianales,Gentianaceae,Centaurium_erythraea,0.17204301075268819,5,3,4,1.3862943611198906
Ranunculales,Papaveraceae,Chelidonium_majus,0.6002824858757062,6,6,5,1.732867951399863
Caryophyllales,Amaranthaceae,Chenopodium_album,0.33628028814669286,53,20,22,2.7328924402481216
Myrtales,Onagraceae,Circaea_lutetiana,0.33480176211453744,14,9,6,1.559581156259877
Ranunculales,Ranunculaceae,Clematis_vitalba,0.6280487804878049,52,18,12,1.8845498690279796
Lamiales,Lamiaceae,Clinopodium_vulgare,0.2931034482758621,36,16,13,2.381161607031065
Ranunculales,Ranunculaceae,Consolida_regalis,0.6041666666666666,7,4,6,1.7480673485460894
Asparagales,Asparagaceae,Convallaria_majalis,0.2955703645629165,10,6,5,1.6726254461503207
Solanales,Convolvulaceae,Convolvulus_arvensis,0.5208333333333333,36,20,22,2.7154065493562918
Cornales,Cornaceae,Cornus_sanguinea,0.3782307972333454,84,30,16,2.114394061948343
Lamiales,Plantaginaceae,Cymbalaria_muralis,0.5926680244399186,4,4,3,1.3321790402101223
Malvales,Thymelaeaceae,Daphne_mezereum,0.20066987039464104,4,3,3,1.3321790402101223
Caryophyllales,Caryophyllaceae,Dianthus_carthusianorum,0.48110831234256923,17,11,9,2.1493916578406216
Lamiales,Plantaginaceae,Digitalis_purpurea,0.29739336492890994,24,11,19,2.7974999090704467
Boraginales,Boraginaceae,Echium_vulgare,0.48087431693989074,49,22,17,2.488991634968275
Malpighiales,Elatinaceae,Elatine_alsinastrum,0.23376623376623376,0,0,0,0
Myrtales,Onagraceae,Epilobium_alpestre,0.10525934904926455,1,1,1,0.6931471805599453
Myrtales,Onagraceae,Epilobium_angustifolium,0.3512014787430684,52,18,20,2.523426896668317
Ericales,Ericaceae,Erica_herbacea,0.422680412371134,17,13,10,2.050705726455745
Geraniales,Geraniaceae,Erodium_cicutarium,0.4142857142857143,20,15,20,2.843207405044181
Lamiales,Orobanchaceae,Euphrasia_officinalis,0.5724770642201834,11,7,6,1.7497789891841657
Rosales,Rosaceae,Filipendula_ulmaria,0.6944444444444444,86,28,17,2.1472806504792756
Rosales,Rosaceae,Fragaria_vesca,0.37090611353711794,42,19,7,1.553491075526335
Gentianales,Rubiaceae,Galium_mollugo,0.3253588516746412,87,17,17,2.3258270022185514
Gentianales,Gentianaceae,Gentiana_asclepiadea,0.24790874524714832,9,9,8,2.1458417525947544
Gentianales,Gentianaceae,Gentiana_bavarica,0.06299212598425197,0,0,0,0
Gentianales,Gentianaceae,Gentiana_lutea,0.34941696823482105,8,6,6,1.8343719702816237
Gentianales,Gentianaceae,Gentiana_pannonica,0.12003158725980523,1,1,1,0.6931471805599453
Gentianales,Gentianaceae,Gentianopsis_ciliata,0.2623979912115505,3,3,3,1.3862943611198906
Geraniales,Geraniaceae,Geranium_pratense,0.4762931034482759,21,13,8,1.5780484757115878
Geraniales,Geraniaceae,Geranium_pyrenaicum,0.38999999999999996,9,7,8,2.1383972463477243
Lamiales,Lamiaceae,Glechoma_hederacea,0.2845849802371541,30,15,13,2.268110230462938
Caryophyllales,Caryophyllaceae,Gypsophila_muralis,0.44262295081967207,0,0,0,0
Malvales,Cistaceae,Helianthemum_apenninum,0.5893363584798639,6,4,5,1.6417347121875212
Malvales,Cistaceae,Helianthemum_nummularium,0.5680473372781065,65,28,18,2.15135837058089
