tip_name,nord,nfam,nspe,ngui,shan,simp,invs
Allium_ursinum,0,0,0,0,0,0,1
Allium_victorialis,0,0,0,0,0,0,1
Anthericum_ramosum,1,1,1,1,0.6931471805599453,0.5,2
Convallaria_majalis,2,2,3,2,1.0397207708399179,0.625,2.6666666666666665
Iris_pseudacorus,0,0,0,0,0,0,1
Campanula_rapunculoides,2,2,2,3,1.3862943611198906,0.75,4
Campanula_rotundifolia,2,2,3,4,1.6094379124341005,0.7999999999999999,4.999999999999999
Campanula_trachelium,2,2,2,3,1.3862943611198906,0.75,4
Legousia_speculum-veneris,0,0,0,0,0,0,1
Echium_vulgare,5,7,13,8,2.02804676777597,0.8476454293628809,6.563636363636364
Myosotis_nemorosa,0,0,0,0,0,0,1
Pulmonaria_officinalis,3,5,11,5,1.537987101117365,0.7530864197530864,4.05
Symphytum_officinale,4,6,13,5,1.5859341131926619,0.7654320987654322,4.2631578947368425
Arabidopsis_arenosa,4,4,4,3,1.3321790402101223,0.72,3.571428571428571
Barbarea_vulgaris,4,5,10,10,2.1972245773362196,0.8641975308641976,7.363636363636364
Cardamine_bulbifera,1,1,1,1,0.6931471805599453,0.5,2
Hornungia_alpina,0,0,0,0,0,0,1
Iberis_amara,1,1,1,2,1.0986122886681096,0.6666666666666667,3
Lepidium_draba,4,7,8,10,2.3034884952192693,0.8888888888888888,9
Chenopodium_album,4,7,12,9,2.106170916206464,0.8518518518518519,6.75
Dianthus_carthusianorum,1,2,2,2,1.0986122886681096,0.6666666666666667,3
Gypsophila_muralis,0,0,0,0,0,0,1
Minuartia_austriaca,0,0,0,0,0,0,1
Silene_flos-cuculi,3,4,4,4,1.6094379124341005,0.7999999999999999,4.999999999999999
Stellaria_nemorum,3,4,4,4,1.6094379124341005,0.7999999999999999,4.999999999999999
Cornus_sanguinea,0,0,0,0,0,0,1
Sambucus_nigra,0,0,0,0,0,0,1
Viburnum_lantana,0,0,0,0,0,0,1
Lonicera_alpigena,3,4,7,2,0.9743147528693494,0.59375,2.4615384615384617
Lonicera_periclymenum,3,5,10,3,1.1685184057430877,0.628099173553719,2.688888888888889
Valeriana_officinalis,1,1,1,1,0.6931471805599453,0.5,2
Impatiens_parviflora,0,0,0,0,0,0,1
Calluna_vulgaris,3,10,15,8,2.1006789212792607,0.8671875,7.529411764705882
Erica_herbacea,2,2,2,2,1.0986122886681096,0.6666666666666667,3
Rhododendron_hirsutum,0,0,0,0,0,0,1
Lysimachia_europaea,0,0,0,0,0,0,1
Lysimachia_vulgaris,0,0,0,0,0,0,1
Primula_auricula,0,0,0,0,0,0,1
Primula_farinosa,0,0,0,0,0,0,1
Soldanella_alpina,0,0,0,0,0,0,1
Anthyllis_vulneraria,4,8,11,11,2.4583113296830836,0.9112426035502958,11.266666666666666
Lathyrus_tuberosus,5,7,8,5,1.6769877743224173,0.7901234567901234,4.764705882352941
Lotus_alpinus,0,0,0,0,0,0,1
Lotus_corniculatus,4,17,25,15,2.51620768413666,0.8980716253443526,9.81081081081081
Lotus_maritimus,2,5,6,4,1.4750763110546947,0.7346938775510204,3.7692307692307696
