tip_name,nord,nfam,nspe,ngui,shan,simp,invs
Allium_ursinum,1,1,1,1,0.6931471805599453,0.5,2
Allium_victorialis,1,2,2,1,0.6365141682948128,0.4444444444444444,1.7999999999999998
Anthericum_ramosum,1,1,1,1,0.6931471805599453,0.5,2
Convallaria_majalis,0,0,0,0,0,0,1
Iris_pseudacorus,2,3,3,3,1.3862943611198906,0.75,4
Campanula_rapunculoides,2,2,3,4,1.6094379124341005,0.7999999999999999,4.999999999999999
Campanula_rotundifolia,2,3,6,3,1.277034259466139,0.6938775510204083,3.266666666666667
Campanula_trachelium,3,3,5,4,1.559581156259877,0.78125,4.571428571428571
Legousia_speculum-veneris,0,0,0,0,0,0,1
Echium_vulgare,0,0,0,0,0,0,1
Myosotis_nemorosa,1,1,1,1,0.6931471805599453,0.5,2
Pulmonaria_officinalis,2,2,3,3,1.3862943611198906,0.75,4
Symphytum_officinale,1,1,2,2,1.0986122886681096,0.6666666666666667,3
Arabidopsis_arenosa,0,0,0,0,0,0,1
Barbarea_vulgaris,0,0,0,0,0,0,1
Cardamine_bulbifera,0,0,0,0,0,0,1
Hornungia_alpina,0,0,0,0,0,0,1
Iberis_amara,1,1,1,2,1.0986122886681096,0.6666666666666667,3
Lepidium_draba,1,1,1,1,0.6365141682948128,0.4444444444444444,1.7999999999999998
Chenopodium_album,0,0,0,0,0,0,1
Dianthus_carthusianorum,1,2,3,3,1.3862943611198906,0.75,4
Gypsophila_muralis,0,0,0,0,0,0,1
Minuartia_austriaca,0,0,0,0,0,0,1
Silene_flos-cuculi,0,0,0,0,0,0,1
Stellaria_nemorum,0,0,0,0,0,0,1
Cornus_sanguinea,4,4,5,4,1.5607104090414063,0.7777777777777778,4.5
Sambucus_nigra,2,2,3,2,1.0397207708399179,0.625,2.6666666666666665
Viburnum_lantana,3,4,4,4,1.6094379124341005,0.7999999999999999,4.999999999999999
Lonicera_alpigena,1,1,1,1,0.6931471805599453,0.5,2
Lonicera_periclymenum,2,2,4,2,0.9502705392332347,0.56,2.272727272727273
Valeriana_officinalis,3,3,4,4,1.6094379124341005,0.7999999999999999,4.999999999999999
Impatiens_parviflora,0,0,0,0,0,0,1
Calluna_vulgaris,0,0,0,0,0,0,1
Erica_herbacea,0,0,0,0,0,0,1
Rhododendron_hirsutum,0,0,0,0,0,0,1
Lysimachia_europaea,0,0,0,0,0,0,1
Lysimachia_vulgaris,2,2,2,3,1.3321790402101223,0.72,3.571428571428571
Primula_auricula,1,1,1,1,0.6931471805599453,0.5,2
Primula_farinosa,0,0,0,0,0,0,1
Soldanella_alpina,1,1,1,1,0.6931471805599453,0.5,2
Anthyllis_vulneraria,0,0,0,0,0,0,1
Lathyrus_tuberosus,2,4,10,8,2.069202465820362,0.8571428571428572,7
Lotus_alpinus,0,0,0,0,0,0,1
