tip_name,nord,nfam,nspe,ngui,shan,simp,invs
Allium_ursinum,3,3,5,6,1.8343719702816237,0.82,5.5555555555555545
Allium_victorialis,0,0,0,0,0,0,1
Anthericum_ramosum,0,0,0,0,0,0,1
Convallaria_majalis,3,4,5,4,1.5607104090414063,0.7777777777777778,4.5
Iris_pseudacorus,4,9,12,10,2.0805571600284205,0.825,5.714285714285714
Campanula_rapunculoides,3,5,11,12,2.5066618124970015,0.9141274238227147,11.645161290322582
Campanula_rotundifolia,5,8,15,11,2.2806771465859246,0.8771266540642723,8.13846153846154
Campanula_trachelium,3,6,10,9,2.242973226438147,0.8877551020408163,8.90909090909091
Legousia_speculum-veneris,0,0,0,0,0,0,1
Echium_vulgare,4,14,23,16,2.4751857846119383,0.8703703703703703,7.714285714285713
Myosotis_nemorosa,1,2,2,3,1.3321790402101223,0.72,3.571428571428571
Pulmonaria_officinalis,3,5,8,7,1.90853528164356,0.826530612244898,5.764705882352941
Symphytum_officinale,5,9,15,8,1.831045091249595,0.7826086956521738,4.6
Arabidopsis_arenosa,2,4,5,6,1.8343719702816237,0.82,5.5555555555555545
Barbarea_vulgaris,4,7,12,7,1.7485471551746843,0.7716049382716049,4.378378378378378
Cardamine_bulbifera,3,5,5,6,1.9061547465398494,0.84375,6.4
Hornungia_alpina,2,2,2,2,1.0397207708399179,0.625,2.6666666666666665
Iberis_amara,3,4,6,3,1.2406842919533958,0.6776859504132231,3.1025641025641026
Lepidium_draba,4,6,11,7,1.692281460717537,0.755,4.081632653061224
Chenopodium_album,4,14,24,14,2.4967594920374125,0.8969823100936525,9.707070707070708
Dianthus_carthusianorum,3,3,5,4,1.464816384890813,0.7407407407407407,3.857142857142857
Gypsophila_muralis,0,0,0,0,0,0,1
Minuartia_austriaca,0,0,0,0,0,0,1
Silene_flos-cuculi,2,5,6,5,1.7478680974667573,0.8163265306122449,5.444444444444445
Stellaria_nemorum,4,7,8,8,2.1458417525947544,0.8760330578512396,8.066666666666666
Cornus_sanguinea,4,12,23,9,1.5501328557052074,0.6282578875171467,2.690036900369004
Sambucus_nigra,4,8,14,6,1.3897154547004784,0.6133333333333333,2.586206896551724
Viburnum_lantana,4,8,9,8,2.1458417525947544,0.8760330578512396,8.066666666666666
Lonicera_alpigena,4,6,13,6,1.7298201303799212,0.7857142857142857,4.666666666666667
Lonicera_periclymenum,3,9,12,6,1.7782333057997075,0.8047337278106509,5.12121212121212
Valeriana_officinalis,5,8,9,7,1.9722469794234416,0.8429752066115703,6.36842105263158
Impatiens_parviflora,2,2,2,2,1.0986122886681096,0.6666666666666667,3
Calluna_vulgaris,3,24,63,15,2.048407329875892,0.7761139517896274,4.466557911908645
Erica_herbacea,4,9,9,7,1.8848713335781606,0.8165680473372781,5.451612903225806
Rhododendron_hirsutum,1,1,1,2,1.0986122886681096,0.6666666666666667,3
Lysimachia_europaea,0,0,0,0,0,0,1
Lysimachia_vulgaris,5,9,13,7,1.684759806567196,0.7313019390581718,3.7216494845360826
Primula_auricula,1,1,1,1,0.6931471805599453,0.5,2
Primula_farinosa,1,1,1,1,0.6931471805599453,0.5,2
Soldanella_alpina,2,2,2,2,1.0397207708399179,0.625,2.6666666666666665
Anthyllis_vulneraria,4,15,22,11,2.063796870355144,0.8261224489795919,5.751173708920188
Lathyrus_tuberosus,3,5,12,7,1.9850531879046152,0.8518518518518519,6.75
Lotus_alpinus,0,0,0,0,0,0,1
Lotus_corniculatus,5,19,50,16,2.2565555451450012,0.8189349112426035,5.522875816993464
Lotus_maritimus,1,3,3,2,1.0397207708399179,0.625,2.6666666666666665
