tip_name,nord,nfam,nspe,ngui,shan,simp,invs
Allium_ursinum,3,3,5,6,1.8343719702816237,0.82,5.5555555555555545
Allium_victorialis,0,0,0,0,0,0,1
Anthericum_ramosum,1,1,1,1,0.6931471805599453,0.5,2
Convallaria_majalis,5,6,10,5,1.6726254461503207,0.7933884297520661,4.840000000000001
Iris_pseudacorus,6,10,15,11,2.2954509758724813,0.8809073724007561,8.396825396825397
Campanula_rapunculoides,3,7,13,11,2.3667103628435937,0.8960302457466919,9.618181818181819
Campanula_rotundifolia,5,10,16,12,2.3243094309445205,0.8768,8.116883116883116
Campanula_trachelium,3,7,14,9,2.1082942189189384,0.8571428571428572,7
Legousia_speculum-veneris,0,0,0,0,0,0,1
Echium_vulgare,5,15,27,15,2.59085953171294,0.9127423822714682,11.460317460317462
Myosotis_nemorosa,1,1,1,2,1.0986122886681096,0.6666666666666667,3
Pulmonaria_officinalis,4,10,17,12,2.380656144884211,0.8888888888888888,9
Symphytum_officinale,4,10,16,9,2.0866739010750055,0.8480725623582767,6.5820895522388065
Arabidopsis_arenosa,4,5,6,6,1.8310204811135162,0.8148148148148149,5.4
Barbarea_vulgaris,5,6,9,6,1.907283999321379,0.8472222222222222,6.545454545454546
Cardamine_bulbifera,1,2,2,2,1.0986122886681096,0.6666666666666667,3
Hornungia_alpina,2,2,2,2,1.0986122886681096,0.6666666666666667,3
Iberis_amara,1,1,2,1,0.6365141682948128,0.4444444444444444,1.7999999999999998
Lepidium_draba,6,9,13,18,2.8143591847508636,0.9300411522633745,14.294117647058824
Chenopodium_album,6,16,33,21,2.6984103170741998,0.9001736111111112,10.017391304347827
Dianthus_carthusianorum,5,7,11,6,1.7670091910745693,0.8,5
Gypsophila_muralis,0,0,0,0,0,0,1
Minuartia_austriaca,0,0,0,0,0,0,1
Silene_flos-cuculi,4,4,4,5,1.7478680974667573,0.8163265306122449,5.444444444444445
Stellaria_nemorum,4,7,12,9,2.1873223188492537,0.875,8
Cornus_sanguinea,5,24,57,15,2.2824280726189943,0.8474047672087325,6.553284671532847
Sambucus_nigra,5,18,31,13,2.313680298302256,0.8633217993079585,7.316455696202531
Viburnum_lantana,4,15,19,15,2.649948793001987,0.9173553719008265,12.1
Lonicera_alpigena,4,6,12,7,1.8392967479776605,0.7928994082840237,4.828571428571428
Lonicera_periclymenum,5,14,29,12,2.115426788156002,0.830078125,5.885057471264368
Valeriana_officinalis,5,14,19,17,2.7782254130184434,0.9289940828402367,14.083333333333332
Impatiens_parviflora,1,1,1,1,0.6931471805599453,0.5,2
Calluna_vulgaris,4,31,95,16,2.184512983559338,0.8191964285714286,5.530864197530865
Erica_herbacea,4,12,15,10,2.08676875496392,0.8310249307479225,5.918032786885247
Rhododendron_hirsutum,1,1,1,2,1.0986122886681096,0.6666666666666667,3
Lysimachia_europaea,1,2,2,2,1.0986122886681096,0.6666666666666667,3
Lysimachia_vulgaris,7,12,19,15,2.3091396144451335,0.8337924701561066,6.016574585635359
Primula_auricula,1,2,2,1,0.6365141682948128,0.4444444444444444,1.7999999999999998
Primula_farinosa,1,2,2,2,1.0986122886681096,0.6666666666666667,3
Soldanella_alpina,1,1,1,2,1.0986122886681096,0.6666666666666667,3
Anthyllis_vulneraria,5,17,24,17,2.634217698056855,0.908612754766601,10.942446043165468
Lathyrus_tuberosus,4,8,16,7,1.8775242811493909,0.82,5.5555555555555545
Lotus_alpinus,0,0,0,0,0,0,1
Lotus_corniculatus,5,26,62,21,2.6875404801938942,0.9040310339011638,10.420035149384885
Lotus_maritimus,2,9,9,7,1.9072839993213793,0.8194444444444444,5.538461538461538
