tip_name,nord,nfam,nspe,ngui,shan,simp,invs
Allium_ursinum,0,0,0,0,0,0,1
Allium_victorialis,0,0,0,0,0,0,1
Anthericum_ramosum,1,1,1,1,0.6931471805599453,0.5,2
Convallaria_majalis,1,1,2,1,0.6365141682948128,0.4444444444444444,1.7999999999999998
Iris_pseudacorus,3,5,10,8,2.1186492470699507,0.8711111111111112,7.758620689655173
Campanula_rapunculoides,2,3,3,3,1.3862943611198906,0.75,4
Campanula_rotundifolia,3,5,11,4,1.3760552852604169,0.7040816326530612,3.3793103448275863
Campanula_trachelium,3,4,5,4,1.5607104090414063,0.7777777777777778,4.5
Legousia_speculum-veneris,0,0,0,0,0,0,1
Echium_vulgare,4,8,13,5,1.656551126696654,0.7911111111111111,4.787234042553191
Myosotis_nemorosa,0,0,0,0,0,0,1
Pulmonaria_officinalis,2,6,8,7,1.9722469794234416,0.8429752066115703,6.36842105263158
Symphytum_officinale,2,5,8,5,1.6957425341696346,0.8,5
Arabidopsis_arenosa,2,4,4,7,2.0253262207700677,0.86,7.142857142857142
Barbarea_vulgaris,3,5,7,8,2.1458417525947544,0.8760330578512396,8.066666666666666
Cardamine_bulbifera,1,1,1,1,0.6931471805599453,0.5,2
Hornungia_alpina,1,1,1,3,1.3862943611198906,0.75,4
Iberis_amara,3,3,3,6,1.9459101490553132,0.8571428571428572,7
Lepidium_draba,4,7,12,10,2.2640492601665603,0.8827160493827161,8.526315789473685
Chenopodium_album,5,9,14,6,1.6807679837119678,0.7750865051903114,4.4461538461538455
Dianthus_carthusianorum,4,5,7,5,1.732867951399863,0.8125,5.333333333333333
Gypsophila_muralis,0,0,0,0,0,0,1
Minuartia_austriaca,1,1,1,1,0.6931471805599453,0.5,2
Silene_flos-cuculi,3,3,4,5,1.7478680974667573,0.8163265306122449,5.444444444444445
Stellaria_nemorum,3,4,4,5,1.791759469228055,0.8333333333333334,6
Cornus_sanguinea,3,16,53,12,2.0899218911324793,0.8158168574401665,5.429378531073446
Sambucus_nigra,6,16,30,12,2.158958546075019,0.8356401384083045,6.084210526315789
Viburnum_lantana,3,10,15,10,2.212256610922266,0.8641975308641976,7.363636363636364
Lonicera_alpigena,3,3,3,3,1.3862943611198906,0.75,4
Lonicera_periclymenum,3,7,17,8,1.8513618739611635,0.795,4.878048780487805
Valeriana_officinalis,4,10,17,8,2.0704930404278246,0.8616780045351474,7.229508196721313
Impatiens_parviflora,3,3,3,3,1.3862943611198906,0.75,4
Calluna_vulgaris,3,17,56,12,1.81183450559725,0.7453703703703705,3.9272727272727277
Erica_herbacea,3,5,6,5,1.732867951399863,0.8125,5.333333333333333
Rhododendron_hirsutum,0,0,0,0,0,0,1
Lysimachia_europaea,1,2,2,2,1.0986122886681096,0.6666666666666667,3
Lysimachia_vulgaris,3,6,12,6,1.732125981490266,0.7911111111111111,4.787234042553191
Primula_auricula,1,2,2,1,0.6365141682948128,0.4444444444444444,1.7999999999999998
Primula_farinosa,1,1,1,1,0.6931471805599453,0.5,2
Soldanella_alpina,0,0,0,0,0,0,1
Anthyllis_vulneraria,4,8,8,5,1.5810937501718236,0.7407407407407407,3.857142857142857
