order,family,tip_name,maleness,nspe,nfam,ngui,shan,height,sla_imp,nectar,color,shape,polli,range
Ranunculales,Ranunculaceae,Aconitum_vulparia,0.6304909560723515,11,6,6,1.7670091910745693,1.5,22.59,NA,yellow,lip,H,875
Rosales,Rosaceae,Agrimonia_eupatoria,0.18981101068200493,22,10,7,1.5890269151739727,0.6,19.65,none,yellow,disk,P,2648
Asparagales,Amaryllidaceae,Allium_ursinum,0.28644501278772383,6,3,6,1.7986522062521288,0.4,42.65,present,white,disk,B,1319
Asparagales,Amaryllidaceae,Allium_victorialis,0.35632183908045983,2,2,1,0.6365141682948128,0.45,36.676761079665305,present,yellow,disk,B,51
Ranunculales,Ranunculaceae,Anemone_nemorosa,0.33999999999999997,13,8,6,1.5268781472745927,0.3,30,none,white,disk,P,2877
Asparagales,Asparagaceae,Anthericum_ramosum,0.44187898089171973,3,1,1,0.5623351446188083,0.4,23.51,present,white,disk,A,972
Fabales,Fabaceae,Anthyllis_vulneraria,0.6301675977653632,41,22,18,2.4252986186970715,0.25,18.85,present,yellow,flag,H,2119
Brassicales,Brassicaceae,Barbarea_vulgaris,0.6120283018867924,29,11,17,2.5214470742464603,0.9,19.4,present,yellow,disk,A,2700
Ericales,Ericaceae,Calluna_vulgaris,0.4572230014025246,134,33,16,2.087265986438313,2.2,13.5,present,violet,bell,B,2788
Ranunculales,Ranunculaceae,Caltha_palustris,0.56,25,13,13,2.2869728468479855,0.3,23.45,present,yellow,disk,A,2885
Solanales,Convolvulaceae,Calystegia_sepium,0.5835189309576838,19,12,7,1.7347432485702734,3,38.4,present,white,funnel,F,2904
Asterales,Campanulaceae,Campanula_rapunculoides,0.18859259259259262,19,7,13,2.518554435966914,0.55,77.075,present,violet,bell,H,2580
Asterales,Campanulaceae,Campanula_rotundifolia,0.2603550295857988,35,10,13,2.2222975338062576,0.2,19.3,NA,violet,bell,H,2906
Asterales,Campanulaceae,Campanula_trachelium,0.1983157894736842,22,10,10,2.2254090484878417,0.75,42.32,NA,violet,bell,H,2481
Brassicales,Brassicaceae,Cardamine_bulbifera,0.7569444444444444,7,7,7,2.0253262207700677,0.7,40.415,present,violet,disk,B,833
Brassicales,Brassicaceae,Arabidopsis_arenosa,0.5947712418300654,13,10,14,2.6078050343427055,0.2,35.15,present,white,disk,A,1741
Gentianales,Gentianaceae,Centaurium_erythraea,0.17204301075268819,5,3,4,1.3862943611198906,0.5,22.54,none,pink,stalk,B,2367
Ranunculales,Papaveraceae,Chelidonium_majus,0.6002824858757062,5,5,4,1.5498260458782016,0.9,47.03,none,yellow,disk,P,2894
Caryophyllales,Amaranthaceae,Chenopodium_album,0.33628028814669286,50,17,17,2.4987632221666147,1.4,21.2,little,other,NA,other,2785
Myrtales,Onagraceae,Circaea_lutetiana,0.33480176211453744,14,9,6,1.559581156259877,0.6,36.7,present,white,lip,other,2599
Ranunculales,Ranunculaceae,Clematis_vitalba,0.6280487804878049,51,17,11,1.828305624092747,30,22.9,none,white,disk,P,2078
Lamiales,Lamiaceae,Clinopodium_vulgare,0.2931034482758621,36,16,13,2.381161607031065,0.8,23.6,present,purple,lip,H,2265
Ranunculales,Ranunculaceae,Consolida_regalis,0.6041666666666666,7,4,6,1.7480673485460894,0.3,24.38,present,blue,lip,H,1515
Asparagales,Asparagaceae,Convallaria_majalis,0.2955703645629165,10,6,5,1.6726254461503207,0.2,42.735,present,white,bell,P,2767
Solanales,Convolvulaceae,Convolvulus_arvensis,0.5208333333333333,34,18,16,2.408442748365686,0.8,23.911,present,white,funnel,B,2887
Cornales,Cornaceae,Cornus_sanguinea,0.3782307972333454,81,28,16,2.0864897625587218,4,13.7,present,white,disk,A,2640
Lamiales,Plantaginaceae,Cymbalaria_muralis,0.5926680244399186,4,4,3,1.3321790402101223,0.4,23.4,NA,violet,lip,H,1716
Malvales,Thymelaeaceae,Daphne_mezereum,0.20066987039464104,4,3,3,1.3321790402101223,1,24.35,present,pink,stalk,B,1596
Caryophyllales,Caryophyllaceae,Dianthus_carthusianorum,0.48110831234256923,17,11,9,2.1493916578406216,0.4,18.12,present,purple,stalk,F,1639
Lamiales,Plantaginaceae,Digitalis_purpurea,0.29739336492890994,22,9,13,2.450742982572099,1.5,20,present,purple,lip,H,2264
Boraginales,Boraginaceae,Echium_vulgare,0.48087431693989074,49,22,17,2.488991634968275,0.9,14.45,plenty,pink,lip,H,2768
Malpighiales,Elatinaceae,Elatine_alsinastrum,0.23376623376623376,0,0,0,0,0.5,30.706188513635453,NA,other,disk,A,157
Myrtales,Onagraceae,Epilobium_alpestre,0.10525934904926455,1,1,1,0.6931471805599453,1,32.53,NA,purple,disk,B,61
Myrtales,Onagraceae,Epilobium_angustifolium,0.3512014787430684,52,18,20,2.523426896668317,1.2,20.6,plenty,purple,disk,B,2952
Ericales,Ericaceae,Erica_herbacea,0.422680412371134,17,13,10,2.050705726455745,0.225,10.1854,present,red,bell,F,166
Geraniales,Geraniaceae,Erodium_cicutarium,0.4142857142857143,17,12,12,2.3452393566951026,0.6,36.64,present,pink,disk,B,2668
Lamiales,Orobanchaceae,Euphrasia_officinalis,0.5724770642201834,11,7,6,1.7497789891841657,0.45,12.85,present,white,lip,B,1666
