group,order,family,genus,epithet,tpl_name,authority,id
Angiosperms,Asparagales,Amaryllidaceae,Allium,ursinum,Allium ursinum,L.,kew-296893
Angiosperms,Asparagales,Amaryllidaceae,Allium,victorialis,Allium victorialis,L.,kew-296917
Angiosperms,Asparagales,Asparagaceae,Anthericum,ramosum,Anthericum ramosum,L.,kew-299665
Angiosperms,Asparagales,Asparagaceae,Convallaria,majalis,Convallaria majalis,L.,kew-303076
Angiosperms,Asparagales,Iridaceae,Iris,pseudacorus,Iris pseudacorus,L.,kew-322261
Angiosperms,Asterales,Campanulaceae,Campanula,rapunculoides,Campanula rapunculoides,L.,kew-365789
Angiosperms,Asterales,Campanulaceae,Campanula,rotundifolia,Campanula rotundifolia,L.,kew-365918
Angiosperms,Asterales,Campanulaceae,Campanula,trachelium,Campanula trachelium,L.,kew-366545
Angiosperms,Asterales,Campanulaceae,Legousia,speculum-veneris,Legousia speculum-veneris,(L.) Durande ex Vill.,kew-358587
Angiosperms,Boraginales,Boraginaceae,Echium,vulgare,Echium vulgare,L.,kew-2784423
Angiosperms,Boraginales,Boraginaceae,Myosotis,nemorosa,Myosotis nemorosa,Besser,kew-2358116
Angiosperms,Boraginales,Boraginaceae,Pulmonaria,officinalis,Pulmonaria officinalis,L.,kew-2413004
Angiosperms,Boraginales,Boraginaceae,Symphytum,officinale,Symphytum officinale,L.,kew-2475636
Angiosperms,Brassicales,Brassicaceae,Arabidopsis,arenosa,Arabidopsis arenosa,(L.) Lawalrée,kew-2645201
Angiosperms,Brassicales,Brassicaceae,Barbarea,vulgaris,Barbarea vulgaris,R.Br.,kew-2669712
Angiosperms,Brassicales,Brassicaceae,Cardamine,bulbifera,Cardamine bulbifera,(L.) Crantz,kew-2699536
Angiosperms,Brassicales,Brassicaceae,Hornungia,alpina,Hornungia alpina,(L.) O.Appel,kew-2853403
Angiosperms,Brassicales,Brassicaceae,Iberis,amara,Iberis amara,L.,kew-2859697
Angiosperms,Brassicales,Brassicaceae,Lepidium,draba,Lepidium draba,L.,kew-2342458
Angiosperms,Caryophyllales,Amaranthaceae,Chenopodium,album,Chenopodium album,L.,kew-2716945
Angiosperms,Caryophyllales,Caryophyllaceae,Dianthus,carthusianorum,Dianthus carthusianorum,L.,kew-2763976
Angiosperms,Caryophyllales,Caryophyllaceae,Gypsophila,muralis,Gypsophila muralis,L.,kew-2836754
Angiosperms,Caryophyllales,Caryophyllaceae,Minuartia,austriaca,Minuartia austriaca,(Jacq.) Hayek,kew-2370880
Angiosperms,Caryophyllales,Caryophyllaceae,Silene,flos-cuculi,Silene flos-cuculi,(L.) Greuter & Burdet,kew-2485564
Angiosperms,Caryophyllales,Caryophyllaceae,Stellaria,nemorum,Stellaria nemorum,L.,kew-2482625
Angiosperms,Cornales,Cornaceae,Cornus,sanguinea,Cornus sanguinea,L.,kew-47495
Angiosperms,Dipsacales,Adoxaceae,Sambucus,nigra,Sambucus nigra,L.,kew-2486519
Angiosperms,Dipsacales,Adoxaceae,Viburnum,lantana,Viburnum lantana,L.,kew-2455932
Angiosperms,Dipsacales,Caprifoliaceae,Lonicera,alpigena,Lonicera alpigena,L.,kew-2340042
Angiosperms,Dipsacales,Caprifoliaceae,Lonicera,periclymenum,Lonicera periclymenum,L.,kew-2357110
Angiosperms,Dipsacales,Caprifoliaceae,Valeriana,officinalis,Valeriana officinalis,L.,kew-2464616
Angiosperms,Ericales,Balsaminaceae,Impatiens,parviflora,Impatiens parviflora,DC.,kew-2862981
Angiosperms,Ericales,Ericaceae,Calluna,vulgaris,Calluna vulgaris,(L.) Hull,kew-2692970
Angiosperms,Ericales,Ericaceae,Erica,herbacea,Erica herbacea,L.,kew-2793460
Angiosperms,Ericales,Ericaceae,Rhododendron,hirsutum,Rhododendron hirsutum,L.,kew-2419508
